"Carrying amount accumulated amortization and impairment and gross
carrying amount [Axis]",Gross carrying amount [Member],,"Accumulated amortization and
impairment [Member]",,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
Total increase (decrease) in Other intangible assets,,,,,
